archivo,tabla,columna,valor
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,09
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,10
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,11
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,12
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,13
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,14
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,15
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,15-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,15-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,15-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,16
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,16-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,16-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,16-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,17
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,17-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,17-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,17-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,18
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,18-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,18-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,18-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,19
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,19-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,19-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,19-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,20
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,20-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,20-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,20-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,21
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,21-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,21-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,21-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,22
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,22-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,22-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,22-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,23
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,23-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,23-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,23-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,24
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,24-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,24-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,24-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,25
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,25-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,25-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,25-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,30
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,30-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,30-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,30-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,35
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,35-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,35-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,35-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,40
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,40-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,40-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,40-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,45
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,45-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,45-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,45-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,50
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,50-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,50-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,50-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,55
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,55-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,55-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,55-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,60
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,60-1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,60-2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,60-3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,65
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,70
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,75
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,tipdato,80
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,cuadro,C201
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,cuadro,C202
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,cuadro,C208
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,cuadro,C209
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,cuadro,C215
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,1A
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,2A
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,3AP
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,3AS
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,4AA
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,4AI
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,5A
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,6A
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,7A
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,8A
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,8AI
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,8AP
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,nroced,9A
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,modalidad,
